product_id,seasonality
1666754|P,[]
1065671|P,[]
1680976|P,[]
1581542|P,"['September', 'October', 'November']"
1351165|P,"['May', 'June', 'July']"
1080440|P,[]
1160447|P,[]
1798934|P,"['March', 'April', 'May', 'June']"
1587962|P,"['January', 'February', 'March', 'April', 'May', 'June']"
1493008|P,[]
1992297|P,[]
1744653|P,[]
1144726|P,[]
1881788|P,[]
1431645|P,[]
1921412|P,"['July', 'August', 'September', 'October']"
1064278|P,[]
1160732|P,[]
1653948|P,[]
1399560|P,[]
1601412|P,"['October', 'November', 'December', 'January', 'February', 'March']"
1801100|P,[]
1684189|P,[]
1984330|P,[]
1052987|P,[]
1263547|P,"['January', 'February', 'March', 'April', 'May', 'June', 'July', 'August', 'September', 'October', 'November', 'December']"
1745816|P,[]
1058347|P,[]
1202227|P,[]
1643134|P,[]
1530461|P,[]
1699198|P,[]
1023959|P,[]
1495880|P,[]
1532123|P,[]
1093040|P,"['January', 'February', 'March', 'April', 'May', 'June', 'July', 'August', 'September', 'October', 'November', 'December']"
1374669|P,[]
1046414|P,"['January', 'February', 'March', 'April', 'May', 'June', 'July', 'August', 'September', 'October', 'November', 'December']"
1284653|P,[]
1068494|P,[]
1584357|P,[]
1544034|P,"['June', 'July']"
1844974|P,[]
1855957|P,[]
1516501|P,[]
1215462|P,[]
1597469|P,[]
1458618|P,[]
1941097|P,[]
1128499|P,[]
1414825|P,[]
1524923|P,[]
1050407|P,[]
1381405|P,[]
1865304|P,[]
1363281|P,"['May', 'June', 'July', 'August']"
1621712|P,[]
1791164|P,[]
1375847|P,[]
1632321|P,[]
1060684|P,[]
1018849|P,[]
1462170|P,[]
1000396|P,[]
1673860|P,[]
1609403|P,[]
1400429|P,[]
1344549|P,[]
1272005|P,[]
1391346|P,[]
1156366|P,"['July', 'August', 'September']"
1052352|P,[]
1924183|P,[]
1835117|P,[]
1691289|P,"['August', 'September', 'October']"
1296382|P,[]
1552622|P,[]
1044455|P,[]
1508063|P,[]
1954633|P,[]
1144685|P,[]
1837283|P,[]
1042106|P,[]
1422835|P,[]
1987690|P,[]
1638993|P,[]
1286347|P,[]
1521282|P,[]
1405987|P,[]
1292778|P,[]
1684589|P,"['January', 'February', 'March', 'April', 'May', 'June', 'July', 'August', 'September', 'October', 'November', 'December']"
1321013|P,[]
1405449|P,"['November', 'December', 'January', 'February', 'March', 'April', 'May']"
1556433|P,"['January', 'February', 'March', 'April', 'May', 'June', 'July', 'August', 'September', 'October', 'November', 'December']"
1622868|P,"['January', 'February', 'March', 'April', 'May', 'June', 'July', 'August', 'September', 'October', 'November', 'December']"
1014784|P,"['January', 'February', 'March', 'April', 'May', 'June', 'July', 'August', 'September', 'October', 'November', 'December']"
1359188|P,[]
1213333|P,[]
1785350|P,"['May', 'June', 'July', 'August']"
1752415|P,[]
1677136|P,[]
1239252|P,[]
1025255|P,[]
1462262|P,"['January', 'February', 'March', 'April', 'May', 'June', 'July', 'August', 'September', 'October', 'November', 'December']"
1726207|P,[]
1392261|P,[]
1916229|P,[]
1093443|P,[]
1035330|P,[]
1578041|P,"['August', 'September', 'October', 'November']"
1611084|P,"['December', 'January', 'February', 'March', 'April']"
1956698|P,[]
1309357|P,[]
1860238|P,[]
1921737|P,"['June', 'July', 'August', 'September']"
1961205|P,[]
1756831|P,[]
1786416|P,"['June', 'July', 'August']"
1492721|P,[]
1748978|P,[]
1962774|P,"['July', 'August', 'September']"
1703008|P,"['September', 'October', 'November', 'December']"
1863460|P,[]
1460697|P,[]
1401489|P,"['August', 'September', 'October', 'November']"
1555792|P,[]
1065375|P,[]
1941793|P,[]
1223003|P,[]
1487964|P,[]
1640082|P,[]
1122999|P,[]
1870592|P,[]
1339073|P,[]
1625367|P,[]
1643869|P,[]
1414986|P,[]
1757577|P,[]
1581516|P,[]
1038569|P,[]
1825549|P,[]
1677231|P,[]
1429221|P,[]
1581176|P,[]
1297206|P,[]
1682931|P,"['April', 'May', 'June', 'July', 'August', 'September']"
1045099|P,"['July', 'August', 'September', 'October', 'November']"
1394289|P,[]
1603052|P,[]
1325700|P,[]
1526518|P,"['October', 'November', 'December']"
1317797|P,[]
1002934|P,[]
1615133|P,[]
1705033|P,"['June', 'July', 'August', 'September']"
1579370|P,[]
1231036|P,[]
1304506|P,[]
1072482|P,[]
1845027|P,"['June', 'July', 'August']"
1306084|P,[]
1079139|P,[]
1067880|P,[]
1274994|P,[]
1348061|P,[]
1862186|P,[]
1739497|P,[]
1762502|P,[]
1024854|P,[]
1404018|P,"['June', 'July', 'August', 'September']"
